case,split
Case035-,training
Case036-,training
Case037-,training
Case038-,training
Case039-,training
Case040-,training
Case041-,training
Case042-,training
Case043-,training
Case044-,training
Case045-,training
Case046-,training
Case048-,training
Case049-,training
Case050-,training
Case051-,training
Case052-,training
Case054-,training
Case056-,training
Case057-,training
Case058-,training
Case060-,training
Case061-,training
Case062-,training
Case063-,training
Case064-,training
Case065-,training
Case066-,training
Case068-,training
Case070-,training
Case071-,training
Case074-,training
Case075-,training
Case076-,training
Case077-,training
Case079-,training
Case080-,training
Case081-,training
Case082-,training
Case083-,training
Case084-,training
Case085-,training
Case086-,training
Case087-,training
Case088-,training
Case089-,training
Case090-,training
Case091-,training
Case092-,training
Case093-,training
Case094-,training
Case095-,training
Case096-,training
Case097-,training
Case098-,training
Case099-,training
Case100-,training
Case101-,training
Case102-,training
Case103-,training
Case104-,training
Case105-,training
Case107-,training
Case108-,training
Case109-,training
Case110-,training
Case111-,training
Case112-,training
Case113-,training
Case114-,training
Case067-,validation
Case069-,inference
Case013-,inference
Case026-,inference
Case053-,inference
Case059-,inference
Case067-,inference
Case001-,inference
Case002-,inference
Case003-,inference
Case004-,inference
Case006-,inference
Case011-,inference
Case015-,inference
Case018-,inference
Case019-,inference
Case020-,inference
Case021-,inference
Case022-,inference
Case024-,inference
Case027-,inference
Case029-,inference
Case030-,inference
Case031-,inference
Case055-,inference
Case012-,inference
Case007-,inference
Case008-,inference
Case014-,inference
Case017-,inference
Case023-,inference
Case025-,inference
Case028-,inference
Case032-,inference
Case034-,inference
